region_id,unit_id,fire_number,discovery_date,discovery_time,first_attack_date,first_attack_time,strategy_met_date,strategy_met_time,fire_out_date,fire_out_time,total_acres,statistical_cause,latitude,longitude
1,111,2011111019,4/28/2011,14:10,4/28/2011,14:30,4/28/2011,16:00,5/2/2011,8:00,15,5,47.3516629,-95.75574497
1,111,2011111022,4/28/2011,16:30,4/28/2011,16:40,4/28/2011,17:00,5/2/2011,8:00,1,7,47.31258532,-95.50143114
1,111,2011111021,4/28/2011,16:35,4/28/2011,16:37,4/28/2011,17:30,5/2/2011,8:00,0.1,7,47.38508481,-95.52257631
1,121,2011121013,4/28/2011,17:15,4/28/2011,17:30,4/28/2011,21:30,5/2/2011,8:00,60,5,48.68687099,-96.71708924
1,121,2011121011,4/28/2011,17:30,4/28/2011,18:15,4/28/2011,20:30,5/25/2011,10:00,144,5,48.25794636,-95.74638713
2,232,2011232013,4/28/2011,18:10,4/28/2011,18:20,4/28/2011,21:00,5/23/2011,8:00,0.5,7,46.79144882,-93.32418394
1,131,2011131008,4/28/2011,23:11,4/28/2011,23:45,4/29/2011,0:15,4/29/2011,0:30,3,7,48.87480628,-94.96227006
1,121,2011121012,4/29/2011,5:56,4/29/2011,6:00,4/29/2011,10:00,5/2/2011,8:00,80,7,48.68651339,-96.58111806
2,251,2011251008,4/29/2011,11:28,4/29/2011,11:40,4/29/2011,11:40,4/29/2011,11:53,0.25,5,46.58596421,-92.49565869
1,111,2011111028,4/29/2011,12:26,4/29/2011,12:39,4/29/2011,12:54,4/30/2011,8:00,1.5,5,47.48939827,-95.53890805
1,121,2011121014,4/29/2011,12:59,4/29/2011,13:25,4/29/2011,17:30,6/2/2011,8:00,87,7,48.23910824,-95.82747616
2,251,2011251009,4/29/2011,13:18,4/29/2011,13:44,4/29/2011,13:50,4/29/2011,14:03,0.01,5,46.90338136,-92.31505573
1,121,2011121015,4/29/2011,14:15,4/29/2011,16:50,4/29/2011,18:00,5/31/2011,8:00,20,7,48.3926475,-95.64337712
2,244,2011244019,4/29/2011,14:45,4/29/2011,15:00,4/29/2011,15:00,4/29/2011,15:15,0.25,4,46.25892857,-93.35468911
2,251,2011251010,4/29/2011,14:47,4/29/2011,15:03,4/29/2011,15:07,4/29/2011,15:30,0.3,2,46.77767729,-92.36729325
1,111,2011111024,4/29/2011,15:05,4/29/2011,15:10,4/29/2011,15:30,5/2/2011,9:00,1.3,9,47.26044717,-95.75577678
1,121,2011121016,4/29/2011,15:12,4/29/2011,15:20,4/29/2011,17:03,5/25/2011,8:00,40,7,48.90711352,-96.82328221
2,244,2011244018,4/29/2011,15:38,4/29/2011,16:06,4/29/2011,16:07,4/30/2011,8:00,0.01,5,46.35111383,-92.57642892
1,117,2011117004,4/29/2011,15:45,4/29/2011,15:54,4/29/2011,15:58,5/3/2011,16:57,1,2,47.75318379,-94.55029206
3,351,2011351017,4/29/2011,16:16,4/29/2011,16:26,4/29/2011,16:29,5/2/2011,8:00,0.25,5,45.38837335,-93.83709971
1,111,2011111023,4/29/2011,17:30,4/29/2011,17:50,4/29/2011,18:30,5/9/2011,9:00,0.1,5,47.3979926,-94.65755075
3,312,2011312021,4/29/2011,17:50,4/29/2011,18:00,4/29/2011,18:01,4/29/2011,18:30,0.1,7,45.97139617,-94.33206873
1,111,2011111025,4/29/2011,17:53,4/29/2011,17:54,4/29/2011,17:56,4/29/2011,18:01,0.1,7,47.39043801,-94.63660289
1,121,2011121017,4/29/2011,18:21,4/29/2011,18:49,4/29/2011,20:45,5/25/2011,8:00,68,7,48.67272231,-96.3466718
1,131,2011131009,4/29/2011,19:10,4/29/2011,19:20,4/29/2011,21:50,5/2/2011,8:47,138,7,48.57907534,-94.64531165
1,121,2011121018,4/29/2011,19:53,4/29/2011,20:15,4/29/2011,20:58,5/2/2011,8:00,80,7,48.6698939,-95.86753323
1,121,2011121020,4/29/2011,20:45,4/29/2011,20:55,4/29/2011,21:15,5/2/2011,8:00,1,7,48.57442903,-96.49986607
1,121,2011121019,4/29/2011,21:03,4/29/2011,21:20,4/29/2011,22:00,6/1/2011,8:00,1,5,48.87406851,-95.36090601
2,232,2011232011,5/2/2011,14:45,5/2/2011,14:55,5/2/2011,16:05,5/23/2011,8:00,1,7,46.89763973,-93.62193326
